"","x"
"2327",3
"2328",0
"2329",4
"2330",0
"2331",6
"2332",3
"2333",50
"2334",2
"2335",0
"2336",32
"2337",33
"2338",11
"2339",1
"2340",27
"2341",4
"2342",51
"2343",0
"2344",0
"2345",3
"2346",56
"2347",0
"2348",0
"2349",17
"2350",30
"2351",4
"2352",83
"2353",31
"2354",5
"2355",1
"2356",0
"2357",37
"2358",19
"2359",3
"2360",57
"2361",66
"2362",61
"2363",0
"2364",63
"2365",1
"2366",9
"2367",0
"2368",8
"2369",0
"2370",0
"2371",80
"2372",0
"2373",11
"2374",2
"2375",0
"2376",0
"2377",43
"2378",0
"2379",1
"2380",6
"2381",14
"2382",84
"2383",7
"2384",8
"2385",0
"2386",12
"2387",39
"2388",3
"2389",12
"2390",2
"2391",15
"2392",48
"2393",11
"2394",18
"2395",0
"2396",10
"2397",0
"2398",74
"2399",1
"2400",0
"2401",2
"2402",5
"2403",14
"2404",6
"2405",3
"2406",24
"2407",4
"2408",13
"2409",2
"2410",1
"2411",1
"2412",6
"2413",18
"2414",9
"2415",0
"2416",12
"2417",6
"2418",2
"2419",0
"2420",82
"2421",0
"2422",0
"2423",7
"2424",21
"2425",3
"2426",7
"2427",3
"2428",29
"2429",62
"2430",6
"2431",0
"2432",50
"2433",3
"2434",3
"2435",1
"2436",2
"2437",16
"2438",8
"2439",3
"2440",3
"2441",2
"2442",47
"2443",1
"2444",3
"2445",9
"2446",19
"2447",19
"2448",6
"2449",10
"2450",0
"2451",0
"2452",0
"2453",3
"2454",24
"2455",3
"2456",0
"2457",6
"2458",2
"2459",32
"2460",3
"2461",42
"2462",3
"2463",17
"2464",55
"2465",55
"2466",2
"2467",0
"2468",21
"2469",24
"2470",7
"2471",4
"2472",3
"2473",0
"2474",16
"2475",4
"2476",1
"2477",2
"2478",55
"2479",3
"2480",4
"2481",3
"2482",55
"2483",4
"2484",5
"2485",55
"2486",76
"2487",55
"2488",0
"2489",6
"2490",1
"2491",4
"2492",4
"2493",0
"2494",0
"2495",19
"2496",17
