,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
36,X1039,0.424234984,0.532592362,0.398961332,0.509587241,0.644444806,0.463077583,0.54012731,0.562881168,0.43830636,0.477017338,0.499123048,
37,X104,0.613139195,0.691838036,0.654613557,0.455250944,0.410200424,0.526689908,0.411090292,0.623537041,0.494871649,0.563820487,0.544505153,
38,X1042,0.338574118,0.337493229,0.410596836,0.361953614,0.317708938,0.427092147,0.355318985,0.608573862,0.383505494,0.520648405,0.406146563,
39,X1043,0.499274119,0.466151345,0.501965261,0.471595268,0.532710151,0.555991676,0.572046544,0.505769441,0.502183522,0.552085504,0.515977283,
40,X1046,0.532067172,0.388820583,0.434654551,0.566573851,0.567768649,0.446409392,0.471662608,0.476347846,0.287091052,0.412568496,0.45839642,
41,X1047,0.549502409,0.419786578,0.414936131,0.501423075,0.459571717,0.637121335,0.464007816,0.542691823,0.472159217,0.569288092,0.503048819,
42,X1049,0.416368966,0.500731272,0.381505075,0.417524884,0.328966614,0.495842216,0.550371166,0.462270416,0.465221523,0.401174739,0.441997687,
43,X1050,0.550211763,0.669735784,0.604592061,0.627042212,0.614497965,0.594653401,0.598849021,0.645219779,0.656888309,0.608922088,0.617061238,
44,X1052,0.589656056,0.409887924,0.556964604,0.464780401,0.518474487,0.50124241,0.478117707,0.40713837,0.611525657,0.396752199,0.493453982,
45,X1053,0.339354391,0.516718035,0.437370926,0.363940932,0.407051706,0.360711644,0.36894987,0.410264373,0.391696579,0.307977786,0.390403624,
46,X1054,0.646384371,0.545759508,0.442733213,0.380056482,0.628336266,0.464326191,0.455200122,0.627260565,0.617110692,0.481263318,0.528843073,
47,X1057,0.394207812,0.572028137,0.561606381,0.722032083,0.438200344,0.468318296,0.539429381,0.551073488,0.488445818,0.558117635,0.529345938,
48,X1058,0.413897436,0.298343128,0.271372988,0.429339679,0.508396343,0.582090387,0.433048959,0.462470398,0.469947922,0.488801348,0.435770859,
49,X1059,0.485704447,0.498817902,0.538765286,0.489262295,0.649502487,0.54539283,0.54158928,0.481857083,0.502744686,0.469591447,0.520322774,
50,X106,0.428246141,0.736134065,0.307159981,0.615466234,0.689703843,0.637919796,0.725404645,0.361396076,0.606512942,0.496272649,0.560421637,
51,X1060,0.164985748,0.248152041,-0.096743499,0.030692568,0.109285129,0.103935419,-0.0686243,0.083751353,0.025157654,-0.068240944,0.053235117,
52,X1061,0.4712132,0.419379436,0.420440689,0.371087099,0.449423664,0.489726654,0.555409666,0.449240528,0.399470833,0.341604125,0.436699589,
53,X1062,0.230401792,0.269853446,0.413676407,0.374856725,0.447436089,0.349945007,0.259349256,0.210765202,0.367196849,0.257766882,0.318124765,
54,X1066,0.331800227,0.341343574,0.249795256,0.405593118,0.287584443,0.270856964,0.202942058,0.351771942,0.229380349,0.280237483,0.295130541,
55,X1067,0.489843142,0.456928699,0.32719862,0.460465717,0.487588381,0.417089605,0.435679803,0.552976674,0.355897958,0.396967371,0.438063597,
56,X1069,0.348057608,0.248120621,0.317835199,0.389996376,0.508799795,0.31712041,0.248421599,0.451000548,0.342043072,0.325733722,0.349712895,
57,X1072,0.26999494,0.367166432,0.324646454,0.377123261,0.318885771,0.314187329,0.410526988,0.2778583,0.35100303,0.560805017,0.357219752,
58,X1091,0.398899152,0.288976231,0.406202287,0.400499666,0.3440364,0.325286347,0.521313678,0.3954261,0.238278025,0.213016903,0.353193479,
59,X11,0.614740935,0.66086496,0.795898191,0.716790077,0.731483524,0.688732565,0.563024586,0.631376154,0.511360667,0.762864204,0.667713586,
60,X110,0.451447267,0.596441124,0.551864554,0.525290446,0.603657707,0.254006618,0.589907889,0.623273118,0.423789854,0.557961379,0.517763996,
61,X111,0.681799599,0.569180781,0.321932515,0.634259314,0.518897699,0.589548148,0.67512111,0.712945071,0.65557603,0.80825588,0.616751615,
62,X1114,0.07140798,0.030559192,0.198108505,0.14090336,0.114250894,0.104201588,0.083591071,-0.03489076,0.072380215,0.386121106,0.116663315,
63,X1129,0.410166272,0.406312615,0.157477568,0.474809718,0.494085977,0.118039959,0.378511683,0.487376005,0.406046477,0.300865973,0.363369225,
64,X1133,0.470328272,0.665452026,0.487942222,0.602643586,0.536102813,0.479286133,0.530863121,0.615003437,0.579067411,0.628882328,0.559557135,
65,X1142,0.686720332,0.511099195,0.742678862,0.4357412,0.461494699,0.348479671,0.640073379,0.417688269,0.624943912,0.62457956,0.549349908,
66,X1143,0.54533626,0.492508782,0.51840147,0.327558738,0.417649129,0.541916368,0.404759314,0.419585834,0.412662509,0.450605085,0.453098349,
67,X1149,0.471632451,0.524926189,0.544216228,0.5423585,0.497838053,0.473732547,0.610667075,0.565467556,0.46939295,0.573055663,0.527328721,
68,X1158,0.590771434,0.641057252,0.520300507,0.626356355,0.511387778,0.436536073,0.60969212,0.622366114,0.739493087,0.555348845,0.585330956,
69,X1161,0.50011534,0.544195626,0.526944322,0.339977648,0.533860804,0.49515775,0.476706691,0.625288686,0.26153325,0.520714563,0.482449468,
