,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
34,X1039,0.125242048,0.321893415,0.025037071,0.28849469,0.467146685,0.414609826,0.403622543,0.535134507,0.393191258,0.401454426,0.337582647,
35,X104,0.559092607,0.595127918,0.347159868,0.174870114,0.193410881,0.21240028,0.274176456,0.259771954,0.243572673,0.375342369,0.323492512,
36,X1042,0.226069065,0.029885889,0.220139048,0.105586385,0.103500859,0.083113678,0.143959084,0.376459303,0.206258402,0.365092202,0.186006391,
37,X1043,0.210494431,0.179056017,0.366128226,0.402893143,0.124973909,0.297885081,0.402030695,0.336838504,0.372555855,0.314294377,0.300715024,
38,X1047,0.327396887,0.345224897,0.242153937,0.437951999,0.370514814,0.455853867,0.444941844,0.21075077,0.319239827,0.372050947,0.352607979,
39,X1049,0.366670726,0.343014164,0.282912251,0.323088754,0.280933864,0.395093767,0.467987439,0.474668241,0.455968255,0.486702877,0.387704034,
40,X1050,0.392978126,0.484896443,0.561594151,0.460917171,0.532208229,0.550243727,0.562890849,0.472577818,0.402842196,0.500567814,0.492171652,
41,X1052,0.494398138,0.102842555,0.443693485,0.347171856,0.408474982,0.33395788,0.338198402,0.357724014,0.481329877,0.344321351,0.365211254,
42,X1053,0.154652097,0.394222742,0.33029346,0.38144299,0.308866403,0.265011525,0.309311188,0.336701284,0.237340615,0.20021068,0.291805299,
43,X1054,0.397789985,0.275472476,0.096261017,0.250769568,0.247128429,0.307862808,0.171151246,0.417179035,0.172593728,0.166345488,0.250255378,
44,X1057,0.224400831,0.366351311,0.426771844,0.453178853,0.139141823,0.184887197,0.416929583,0.41505687,0.344581969,0.376749913,0.33480502,
45,X1058,0.410087729,0.270871755,0.379996649,0.510301421,0.409419082,0.537369671,0.451777681,0.506558555,0.540948679,0.450024832,0.446735605,
46,X1059,0.42365347,0.366310525,0.499654753,0.356985403,0.527352087,0.482283674,0.541263097,0.573742324,0.460172809,0.302634367,0.453405251,
47,X1060,0.720054214,0.752066042,0.65790423,0.734327698,0.60721101,0.736293885,0.724598424,0.694582336,0.766507497,0.542217851,0.693576319,
48,X1061,0.236455613,0.331562285,0.18837451,0.362269777,0.31199182,0.384184514,0.291401938,0.350529811,0.268884445,0.317909649,0.304356436,
49,X1062,0.592142952,0.444277001,0.548253666,0.439034169,0.521765655,0.408699839,0.317568922,0.473953988,0.281201751,0.402514226,0.442941217,
