From	To
ENSG00000125398	6662
ENSG00000152601	4154
ENSG00000170791	79145
ENSG00000155592	342357
ENSG00000078967	51619
ENSG00000185933	255022
ENSG00000170790	341276
ENSG00000124678	6954
ENSG00000157593	100616124
ENSG00000170777	89882
ENSG00000170779	55038
ENSG00000077549	832
ENSG00000152611	133690
ENSG00000170786	195814
ENSG00000185900	84197
ENSG00000170782	283297
ENSG00000119335	6418
ENSG00000119333	89891
ENSG00000182271	388364
ENSG00000182272	338707
ENSG00000084463	51729
ENSG00000011304	100616459
ENSG00000119326	8727
ENSG00000119328	54942
ENSG00000185909	200942
ENSG00000124688	9587
ENSG00000185904	84856
ENSG00000185905	283897
ENSG00000170775	2861
ENSG00000170776	102465803
ENSG00000152620	133686
ENSG00000182287	8905
ENSG00000140297	9245
ENSG00000119321	23307
ENSG00000197496	81031
ENSG00000197498	84154
ENSG00000155545	166968
ENSG00000158669	137964
ENSG00000197497	79788
ENSG00000188997	283219
ENSG00000188993	339977
ENSG00000181004	166379
ENSG00000188992	149998
ENSG00000188994	23036
ENSG00000182257	55267
ENSG00000056972	10758
ENSG00000154099	123872
ENSG00000182256	2567
ENSG00000182255	3739
ENSG00000182253	23336
ENSG00000154096	7070
ENSG00000155542	133383
ENSG00000125347	3659
ENSG00000234616	8629
ENSG00000182261	338322
ENSG00000197487	85569
ENSG00000182263	55137
ENSG00000197483	89887
ENSG00000125351	65109
ENSG00000125352	7737
ENSG00000181016	286006
ENSG00000181013	284083
ENSG00000182264	284359
ENSG00000152642	23171
ENSG00000125356	4694
ENSG00000125355	55026
ENSG00000125354	23157
ENSG00000181007	284406
ENSG00000118217	22926
ENSG00000118246	22868
ENSG00000118245	7141
ENSG00000188976	26155
ENSG00000056998	8908
ENSG00000118242	55686
ENSG00000007520	115939
ENSG00000085552	57549
ENSG00000155561	23165
ENSG00000125363	265
ENSG00000123104	3709
ENSG00000068383	3632
ENSG00000123106	55297
ENSG00000188986	25920
ENSG00000085563	5243
ENSG00000152661	2697
ENSG00000118231	1421
ENSG00000182240	25825
ENSG00000078902	54472
ENSG00000188984	126767
ENSG00000182247	7325
ENSG00000078900	7161
ENSG00000152669	10309
ENSG00000057593	2155
ENSG00000188981	345222
ENSG00000125378	652
ENSG00000007516	8938
ENSG00000068394	27238
ENSG00000123119	64168
ENSG00000158623	26958
ENSG00000118260	1385
ENSG00000040341	27067
ENSG00000181045	284129
ENSG00000119392	2733
ENSG00000118263	8609
ENSG00000152670	54514
ENSG00000119397	11064
ENSG00000152672	165530
ENSG00000188958	257313
ENSG00000068366	2182
ENSG00000119396	51552
ENSG00000188959	401546
ENSG00000155508	9337
ENSG00000155506	23367
ENSG00000006016	9244
ENSG00000006015	55049
ENSG00000125304	9375
ENSG00000182208	81532
ENSG00000182224	124637
ENSG00000152689	25780
ENSG00000182220	10159
ENSG00000042493	822
ENSG00000155511	2890
ENSG00000041880	10039
ENSG00000182223	326340
ENSG00000158615	84919
ENSG00000103275	7329
ENSG00000152683	55676
ENSG00000103274	4682
ENSG00000119383	5524
ENSG00000118257	8828
ENSG00000006007	51573
ENSG00000125319	78995
ENSG00000170703	284076
ENSG00000182218	84439
ENSG00000157510	134265
ENSG00000181023	387748
ENSG00000181026	64782
ENSG00000181027	79147
ENSG00000018280	6556
ENSG00000085514	29992
ENSG00000188931	257177
ENSG00000157514	1831
ENSG00000085511	4216
ENSG00000141873	29985
ENSG00000188937	60506
ENSG00000103241	2294
ENSG00000103245	64428
ENSG00000103248	64779
ENSG00000103249	1186
ENSG00000181019	1728
ENSG00000011376	23395
ENSG00000181035	284439
ENSG00000155530	136332
ENSG00000157502	139221
ENSG00000069122	221395
ENSG00000157500	26060
ENSG00000118271	7276
ENSG00000181038	124512
ENSG00000181036	343413
ENSG00000118276	9331
ENSG00000141867	23476
ENSG00000068354	4943
ENSG00000181031	9501
ENSG00000158636	56946
ENSG00000158639	90737
ENSG00000006025	114881
ENSG00000124608	57505
ENSG00000103257	8140
ENSG00000188938	158293
ENSG00000141858	90378
ENSG00000124602	222643
ENSG00000181029	126003
ENSG00000125337	3834
ENSG00000123179	84650
ENSG00000123178	57213
ENSG00000239713	60489
ENSG00000154027	26289
ENSG00000197520	400823
ENSG00000123171	83446
ENSG00000069188	54549
ENSG00000154025	125206
ENSG00000184445	9735
ENSG00000176136	4161
ENSG00000123165	139741
ENSG00000184428	116447
ENSG00000232434	389813
ENSG00000174007	84984
ENSG00000152592	1758
ENSG00000152591	1834
ENSG00000154016	10750
ENSG00000176148	55346
ENSG00000197530	142678
ENSG00000152595	56955
ENSG00000003509	55471
