"","x"
"1107","GO:1903050"
"1108","GO:1903052"
"1109","GO:1903115"
"1110","GO:1903169"
"1111","GO:1903214"
"1112","GO:1903362"
"1113","GO:1903364"
"1114","GO:1903514"
"1115","GO:1903522"
"1116","GO:1903531"
"1117","GO:1903541"
"1118","GO:1903543"
"1119","GO:1903555"
"1120","GO:1903557"
"1121","GO:1903573"
"1122","GO:1903725"
"1123","GO:1903727"
"1124","GO:1903747"
"1125","GO:1903749"
"1126","GO:1903825"
"1127","GO:1903829"
"1128","GO:1903897"
"1129","GO:1903900"
"1130","GO:1903901"
"1131","GO:1903955"
"1132","GO:1903959"
"1133","GO:1903963"
"1134","GO:1904062"
"1135","GO:1904659"
"1136","GO:1904893"
"1137","GO:1904894"
"1138","GO:1904896"
"1139","GO:1904903"
"1140","GO:1904950"
"1141","GO:1905048"
"1142","GO:1905897"
"1143","GO:1905950"
"1144","GO:1905952"
"1145","GO:1905953"
"1146","GO:1990182"
"1147","GO:2000021"
"1148","GO:2000104"
"1149","GO:2000273"
"1150","GO:2000677"
"1151","GO:2000679"
"1152","GO:2001233"
"1153","GO:2001236"
"1154","GO:2001237"
"1155","GO:0000002"
"1156","GO:0000038"
"1157","GO:0000070"
"1158","GO:0000183"
"1159","GO:0000187"
"1160","GO:0000209"
"1161","GO:0000266"
"1162","GO:0000375"
"1163","GO:0000377"
"1164","GO:0000398"
"1165","GO:0000722"
"1166","GO:0000724"
"1167","GO:0000725"
"1168","GO:0000737"
"1169","GO:0001516"
"1170","GO:0001539"
"1171","GO:0001578"
"1172","GO:0001649"
"1173","GO:0001667"
"1174","GO:0001676"
"1175","GO:0001706"
"1176","GO:0001707"
"1177","GO:0001763"
"1178","GO:0001776"
"1179","GO:0001780"
"1180","GO:0001819"
"1181","GO:0001823"
"1182","GO:0001833"
"1183","GO:0001836"
"1184","GO:0001837"
"1185","GO:0001838"
"1186","GO:0001840"
"1187","GO:0001841"
"1188","GO:0001843"
"1189","GO:0001889"
"1190","GO:0001935"
"1191","GO:0001942"
"1192","GO:0001959"
"1193","GO:0001974"
"1194","GO:0002067"
"1195","GO:0002088"
"1196","GO:0002218"
"1197","GO:0002221"
"1198","GO:0002224"
"1199","GO:0002227"
"1200","GO:0002237"
"1201","GO:0002244"
"1202","GO:0002251"
"1203","GO:0002262"
"1204","GO:0002385"
"1205","GO:0002438"
"1206","GO:0002495"
"1207","GO:0002504"
"1208","GO:0002507"
"1209","GO:0002526"
"1210","GO:0002576"
"1211","GO:0002694"
"1212","GO:0002696"
"1213","GO:0002755"
"1214","GO:0002758"
"1215","GO:0002819"
"1216","GO:0003149"
"1217","GO:0003151"
"1218","GO:0003170"
"1219","GO:0003179"
"1220","GO:0003188"
"1221","GO:0003197"
"1222","GO:0003198"
"1223","GO:0003203"
"1224","GO:0003205"
"1225","GO:0003206"
"1226","GO:0003208"
"1227","GO:0003209"
"1228","GO:0003229"
"1229","GO:0003230"
"1230","GO:0003231"
"1231","GO:0003272"
"1232","GO:0003279"
"1233","GO:0003281"
"1234","GO:0003300"
"1235","GO:0003341"
"1236","GO:0006022"
"1237","GO:0006023"
"1238","GO:0006024"
"1239","GO:0006081"
"1240","GO:0006195"
"1241","GO:0006198"
"1242","GO:0006308"
"1243","GO:0006309"
"1244","GO:0006312"
"1245","GO:0006323"
"1246","GO:0006334"
"1247","GO:0006335"
"1248","GO:0006338"
