"","x"
"1252",3
"1253",0
"1254",0
"1255",1
"1256",10
"1257",5
"1258",3
"1259",29
"1260",8
"1261",3
"1262",3
"1263",2
"1264",3
"1265",1
"1266",67
"1267",4
"1268",38
"1269",3
"1270",8
"1271",26
"1272",23
"1273",10
"1274",42
"1275",3
"1276",2
"1277",4
"1278",1
"1279",1
"1280",1
"1281",4
"1282",3
"1283",20
"1284",38
"1285",5
"1286",3
"1287",15
"1288",4
"1289",10
"1290",3
"1291",1
"1292",35
"1293",0
"1294",0
"1295",22
"1296",5
"1297",3
"1298",3
"1299",10
"1300",0
"1301",3
"1302",28
"1303",11
"1304",32
"1305",2
"1306",6
"1307",1
"1308",1
"1309",14
"1310",13
"1311",1
"1312",1
"1313",0
"1314",1
"1315",4
"1316",15
"1317",3
"1318",26
"1319",6
"1320",18
"1321",3
"1322",9
"1323",14
"1324",3
"1325",15
"1326",1
"1327",13
"1328",4
"1329",14
"1330",3
"1331",5
"1332",11
"1333",5
"1334",68
"1335",0
"1336",1
"1337",11
"1338",0
"1339",4
"1340",58
"1341",4
"1342",5
"1343",0
"1344",8
"1345",1
"1346",0
"1347",39
"1348",12
"1349",15
"1350",5
"1351",13
"1352",34
"1353",15
"1354",30
"1355",5
"1356",4
"1357",0
"1358",1
"1359",2
"1360",27
"1361",43
"1362",1
"1363",0
"1364",9
"1365",4
"1366",67
"1367",1
"1368",4
"1369",3
"1370",11
"1371",14
"1372",18
"1373",3
"1374",11
"1375",67
"1376",3
"1377",11
"1378",1
"1379",3
"1380",64
"1381",23
"1382",4
"1383",34
"1384",0
"1385",3
"1386",10
"1387",0
"1388",30
"1389",71
"1390",1
"1391",9
"1392",13
"1393",52
"1394",26
"1395",4
"1396",18
"1397",4
"1398",0
"1399",7
"1400",0
"1401",3
"1402",43
"1403",0
"1404",56
"1405",5
"1406",3
"1407",13
"1408",4
"1409",19
"1410",5
"1411",36
"1412",1
"1413",24
"1414",5
"1415",4
"1416",1
"1417",9
"1418",0
"1419",2
"1420",42
"1421",9
"1422",0
"1423",15
"1424",3
"1425",0
"1426",0
"1427",1
"1428",5
"1429",28
"1430",15
"1431",2
"1432",5
"1433",18
"1434",6
"1435",3
"1436",4
"1437",0
"1438",4
"1439",0
"1440",14
"1441",4
"1442",0
"1443",0
"1444",0
"1445",6
"1446",15
"1447",5
"1448",0
"1449",2
"1450",2
"1451",31
"1452",5
"1453",11
"1454",35
"1455",1
"1456",15
"1457",0
"1458",3
"1459",12
"1460",63
"1461",5
"1462",8
"1463",13
"1464",30
"1465",17
"1466",31
"1467",23
"1468",4
"1469",0
"1470",3
"1471",10
"1472",5
"1473",3
"1474",4
"1475",7
"1476",5
"1477",1
"1478",3
"1479",1
"1480",5
"1481",66
"1482",0
"1483",33
"1484",5
"1485",4
"1486",55
"1487",0
"1488",1
"1489",4
"1490",1
"1491",1
"1492",43
"1493",13
"1494",0
"1495",1
"1496",3
"1497",20
"1498",58
"1499",25
"1500",8
"1501",32
"1502",18
"1503",10
"1504",12
"1505",18
"1506",14
"1507",5
"1508",0
"1509",6
"1510",0
"1511",1
"1512",0
"1513",9
"1514",14
"1515",15
"1516",44
"1517",0
"1518",67
"1519",0
"1520",26
"1521",16
"1522",0
"1523",15
"1524",0
"1525",6
"1526",0
"1527",1
"1528",0
"1529",45
"1530",8
"1531",61
"1532",16
"1533",13
"1534",0
"1535",3
"1536",0
"1537",5
"1538",30
"1539",5
"1540",0
"1541",8
"1542",3
"1543",0
"1544",0
"1545",52
"1546",28
"1547",1
"1548",6
"1549",6
"1550",3
"1551",37
"1552",31
"1553",31
"1554",0
"1555",31
"1556",3
"1557",3
"1558",0
"1559",0
"1560",11
"1561",3
"1562",3
"1563",1
"1564",25
"1565",0
"1566",0
"1567",0
"1568",25
"1569",10
"1570",1
"1571",23
"1572",3
"1573",1
"1574",34
"1575",0
"1576",3
"1577",10
"1578",26
"1579",17
"1580",3
"1581",0
"1582",1
"1583",3
"1584",35
"1585",26
"1586",34
"1587",30
"1588",9
"1589",34
"1590",66
"1591",0
"1592",4
"1593",7
"1594",36
"1595",0
"1596",21
"1597",10
"1598",0
"1599",8
"1600",3
"1601",20
"1602",0
"1603",0
"1604",45
"1605",17
"1606",0
"1607",1
"1608",11
"1609",16
"1610",0
"1611",8
"1612",0
"1613",3
"1614",16
"1615",31
"1616",0
"1617",11
"1618",18
"1619",30
"1620",3
"1621",0
"1622",8
"1623",1
"1624",0
"1625",8
"1626",52
"1627",6
"1628",11
"1629",5
"1630",6
"1631",13
"1632",1
"1633",1
"1634",5
"1635",9
"1636",0
"1637",11
"1638",5
"1639",0
"1640",7
"1641",45
"1642",45
"1643",60
"1644",0
"1645",0
"1646",11
"1647",4
"1648",70
"1649",4
"1650",6
"1651",6
"1652",24
"1653",45
"1654",42
"1655",18
"1656",0
"1657",0
"1658",3
"1659",4
"1660",1
"1661",3
"1662",39
"1663",29
"1664",15
"1665",0
"1666",0
"1667",16
"1668",0
"1669",3
"1670",7
"1671",20
"1672",5
"1673",11
"1674",3
"1675",14
"1676",48
"1677",3
"1678",29
"1679",62
"1680",10
"1681",1
"1682",14
"1683",4
"1684",0
"1685",4
"1686",40
"1687",0
"1688",8
"1689",0
"1690",23
"1691",3
"1692",23
"1693",14
"1694",5
"1695",0
"1696",0
"1697",29
"1698",0
"1699",24
"1700",17
"1701",0
"1702",6
"1703",5
"1704",7
"1705",1
"1706",0
"1707",0
"1708",6
"1709",0
"1710",6
"1711",5
"1712",0
"1713",21
"1714",0
"1715",8
"1716",3
"1717",1
"1718",9
"1719",5
"1720",38
"1721",2
"1722",5
"1723",3
"1724",0
"1725",6
"1726",0
"1727",6
"1728",31
"1729",31
"1730",0
"1731",0
"1732",40
"1733",24
"1734",19
"1735",0
"1736",54
"1737",7
"1738",4
"1739",3
"1740",3
"1741",0
"1742",0
"1743",54
"1744",6
"1745",1
"1746",4
"1747",4
"1748",54
"1749",4
"1750",7
"1751",54
"1752",54
"1753",10
"1754",3
"1755",11
"1756",1
"1757",8
"1758",15
"1759",54
"1760",4
"1761",3
"1762",15
"1763",4
"1764",73
"1765",3
"1766",50
"1767",2
"1768",54
"1769",20
"1770",8
"1771",3
"1772",16
"1773",30
"1774",3
"1775",54
"1776",4
"1777",0
"1778",13
"1779",0
"1780",1
"1781",2
"1782",5
"1783",10
"1784",4
"1785",25
"1786",0
"1787",6
"1788",19
"1789",0
"1790",7
"1791",26
"1792",1
"1793",0
"1794",5
"1795",11
"1796",0
"1797",0
"1798",23
"1799",11
"1800",9
"1801",2
"1802",3
"1803",0
"1804",23
"1805",0
"1806",3
"1807",6
"1808",0
"1809",26
"1810",1
"1811",1
"1812",11
"1813",1
"1814",27
"1815",27
"1816",5
"1817",0
"1818",20
"1819",0
"1820",17
"1821",17
"1822",0
"1823",5
"1824",26
"1825",1
"1826",0
"1827",2
"1828",42
"1829",3
"1830",29
"1831",1
"1832",0
"1833",3
"1834",25
"1835",8
"1836",2
"1837",0
"1838",0
"1839",34
"1840",13
"1841",40
"1842",16
"1843",13
"1844",5
"1845",0
"1846",19
"1847",3
"1848",4
"1849",1
"1850",0
"1851",28
"1852",45
"1853",50
"1854",0
"1855",4
"1856",17
"1857",8
"1858",58
"1859",4
"1860",3
"1861",29
"1862",19
"1863",27
"1864",67
"1865",67
"1866",59
"1867",66
"1868",4
"1869",9
"1870",0
"1871",3
"1872",50
"1873",57
"1874",28
"1875",15
"1876",1
"1877",50
"1878",37
"1879",66
"1880",11
"1881",6
"1882",37
"1883",5
"1884",1
"1885",61
"1886",64
"1887",27
"1888",46
"1889",1
"1890",63
"1891",0
"1892",0
"1893",14
"1894",59
"1895",20
"1896",3
"1897",4
"1898",55
"1899",17
"1900",0
"1901",5
"1902",36
"1903",23
"1904",0
"1905",23
"1906",5
"1907",65
"1908",5
"1909",23
"1910",3
"1911",24
"1912",23
"1913",48
"1914",0
"1915",15
"1916",1
"1917",1
"1918",5
"1919",4
"1920",0
"1921",0
"1922",15
"1923",0
"1924",10
"1925",34
"1926",18
"1927",5
"1928",11
"1929",9
"1930",0
"1931",13
"1932",3
"1933",57
"1934",1
"1935",5
"1936",4
"1937",1
"1938",24
"1939",6
"1940",3
"1941",22
"1942",15
"1943",3
"1944",2
"1945",72
"1946",2
"1947",5
"1948",0
"1949",45
"1950",0
"1951",5
"1952",0
"1953",1
"1954",5
"1955",1
"1956",4
"1957",6
"1958",7
"1959",42
"1960",6
"1961",0
"1962",0
"1963",9
"1964",5
"1965",3
"1966",1
"1967",42
"1968",3
"1969",0
"1970",0
"1971",8
"1972",19
"1973",10
"1974",1
"1975",1
"1976",0
"1977",0
"1978",0
"1979",15
"1980",4
"1981",1
"1982",3
"1983",18
"1984",10
"1985",1
"1986",70
"1987",2
"1988",33
"1989",11
"1990",17
"1991",0
"1992",0
"1993",1
"1994",8
"1995",0
"1996",0
"1997",60
"1998",9
"1999",1
"2000",11
"2001",8
"2002",2
"2003",5
"2004",6
"2005",3
"2006",6
"2007",0
"2008",5
"2009",0
"2010",1
"2011",1
"2012",1
"2013",28
"2014",4
"2015",5
"2016",6
"2017",0
"2018",0
"2019",3
"2020",6
"2021",0
"2022",4
"2023",14
"2024",1
"2025",0
"2026",6
"2027",4
"2028",1
"2029",2
"2030",5
"2031",1
"2032",6
"2033",0
"2034",0
"2035",3
"2036",2
"2037",29
"2038",3
"2039",2
"2040",0
"2041",4
"2042",0
"2043",7
"2044",2
"2045",0
"2046",5
"2047",3
"2048",0
"2049",8
"2050",0
"2051",6
"2052",6
"2053",0
"2054",2
"2055",2
"2056",19
"2057",1
"2058",6
"2059",4
"2060",0
"2061",2
"2062",2
"2063",11
"2064",4
"2065",49
"2066",5
"2067",0
"2068",1
"2069",4
"2070",0
"2071",0
"2072",49
"2073",0
"2074",4
"2075",4
"2076",1
"2077",14
"2078",3
"2079",58
"2080",49
"2081",0
"2082",0
"2083",9
"2084",49
"2085",0
"2086",49
"2087",0
"2088",3
"2089",12
"2090",49
"2091",11
"2092",5
"2093",5
"2094",8
"2095",1
"2096",44
"2097",9
"2098",49
"2099",12
"2100",9
"2101",49
"2102",1
"2103",3
"2104",9
"2105",0
"2106",3
"2107",4
"2108",0
"2109",49
"2110",3
"2111",1
"2112",4
"2113",20
"2114",1
"2115",1
"2116",49
"2117",3
"2118",3
"2119",49
"2120",0
"2121",2
"2122",49
"2123",10
"2124",49
"2125",3
"2126",8
"2127",15
"2128",0
"2129",1
"2130",6
"2131",36
"2132",0
"2133",5
"2134",4
"2135",19
"2136",15
"2137",3
"2138",0
"2139",49
"2140",0
"2141",3
"2142",0
"2143",10
"2144",49
"2145",0
"2146",0
"2147",49
"2148",0
"2149",15
"2150",3
"2151",49
"2152",0
"2153",3
"2154",49
