,dddd1.drugs.i.,dddd1.a,dddd2.a,dddd3.a,dddd4.a,dddd5.a,dddd6.a,dddd7.a,dddd8.a,dddd9.a,dddd10.a,,
80,X1219,0.704350478,0.582315948,0.587890662,0.604493028,0.426840266,0.581730687,0.527767617,0.605412532,0.640210201,0.685531068,0.594654249,
81,X1230,0.424363196,0.358348521,0.272991001,0.363295366,0.436423889,0.545242909,0.338676541,0.126287892,0.457732355,0.359329201,0.368269087,
82,X1236,0.333879837,0.382011728,0.545435868,0.428652814,0.552257837,0.432441832,0.282180425,0.559778812,0.456241643,0.524790208,0.4497671,
83,X1239,0.667829012,0.733697332,0.578297689,0.560803491,0.671704643,0.603064543,0.609983434,0.643698607,0.634543568,0.611954548,0.631557686,
84,X1241,0.489746546,0.369070368,0.430313982,0.339090311,0.374780765,0.304249461,0.493171282,0.456055414,0.400765607,0.44357219,0.410081593,
85,X1242,0.405358282,0.48527364,0.593368807,0.523136792,0.553507616,0.523305456,0.544361561,0.414686807,0.363171781,0.556138065,0.496230881,
86,X1243,0.532529755,0.47805418,0.435107376,0.575795147,0.466523714,0.401368141,0.629092549,0.51154324,0.408195483,0.674111519,0.51123211,
87,X1248,0.368507726,0.47402231,0.444200138,0.450098984,0.593305208,0.426220279,0.512268773,0.347393207,0.390841853,0.490432767,0.449729124,
88,X1259,0.670245687,0.546282739,0.515350428,0.53372644,0.618570393,0.70837341,0.592416856,0.60438444,0.503230026,0.537422415,0.583000283,
89,X1261,0.051410129,0.135453427,0.240346206,0.290186508,0.385505648,0.339817661,0.271340458,0.19204249,0.372791828,0.203721801,0.248261616,
90,X1262,0.553662018,0.632227309,0.500231324,0.562635061,0.655818949,0.655842439,0.490664376,0.606241903,0.686252168,0.69236656,0.603594211,
91,X1264,0.625810427,0.593331653,0.350843186,0.516422944,0.413542063,0.573852441,0.528741121,0.392727111,0.406498769,0.608825805,0.501059552,
92,X1268,0.330769359,0.423281781,0.515239616,0.345648625,0.459735423,0.548115628,0.385120268,0.441765351,0.501575884,0.526442084,0.447769402,
93,X127,0.528672992,0.66630171,0.579688939,0.749445576,0.724536503,0.660430828,0.452311934,0.508734552,0.546520958,0.441064724,0.585770872,
94,X133,0.75631591,0.744286257,0.652297025,0.737551989,0.739242886,0.792046573,0.763985326,0.744993022,0.685091216,0.714475355,0.733028556,
95,X134,0.674832568,0.760349067,0.62115017,0.641187768,0.734396595,0.748585609,0.693778096,0.589299484,0.759960954,0.729796808,0.695333712,
96,X135,0.725681135,0.679638855,0.751964926,0.665615673,0.616665199,0.6691787,0.528970186,0.722544565,0.670576825,0.672706518,0.670354258,
